"Deal ID"|"Legal Entity"|"Model Portfolio"|"SCD ID"|"Investment Taxonomy"|"Investment Structure 1"|"Investment Structure 2"|"Investment Structure 3"|"Investment Structure 4"|"Investment Structure 5"|"Investment Structure 6"|"Family"|"Reporting Name"|"Deal Name"|"Deal Currency"|"Deal Commitment"|"Primary Investment Category"|"Developed or Emerging Markets?"|"Financial Statement Classification"|"Active or Liquidated"|"Liquidation Date"|"Risk Rating"|"CPP Closing Date"|"Board Seat Count"|"Follow-On"|"Primary F&O"|"Secondary F&O"|"Industry Focus"|"Geographic Focus"|"Vintage Year"|"Investing Entity"|"Primary PI"|"Stock Distribution"|"Equity ownership %"|"CPPIB CC rating"|"Adjusted Beta"|"PCI Strategy"
"2590"|"CPPIB"|"M991JME907"|"PR1000013"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Terra Firma Capital Partners"|"AWAS Aviation"|"AWAS Aviation"|"EUR"|"50000000"|"Industrials"|"Developed"|"Non Canadian Private Equity"|"True"|""|"Green"|"20060806"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"Europe (ex-UK)"|"2006"|"PHI"|"Selwood, Ryan"|""|"0.25"|""|""|""
"2628"|"CPPIB"|"M04599F972"|"PR1000004"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Welsh, Carson, Anderson & Stowe"|"NEW Asurion"|"Asurion"|"USD"|"119349154"|"Industrials"|"Developed"|"Non Canadian Private Equity"|"True"|""|"Green"|"20070629"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"US"|"2007"|"USREII"|"McKay, Geoff"|""|"0.215"|""|""|""
"2651"|"CPPIB"|"M919ADF902"|"PR1000010"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Terra Firma Capital Partners"|"AWAS Aviation"|"AWAS Aviation-TFCP II Co-Inv 4A-2007"|"EUR"|"3060570"|"Industrials"|"Developed"|"Non Canadian Private Equity"|"True"|""|"Green"|"20071203"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"Europe (ex-UK)"|"2007"|"PHI"|"Selwood, Ryan"|""|"0.25"|""|""|""
"2652"|"CPPIB"|"M999ZTM908"|"PR1000012"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Terra Firma Capital Partners"|"AWAS Aviation"|"AWAS Aviation-TFCP III Co-Inv-2007"|"EUR"|"73090633"|"Industrials"|"Developed"|"Non Canadian Private Equity"|"True"|""|"Green"|"20071203"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"Europe (ex-UK)"|"2007"|"PHI"|"Selwood, Ryan"|""|"0.25"|""|""|""
"2654"|"CPPIB"|"M524919909"|"PR1000026"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"CCMP Capital Advisors, LLC"|"LHP Hospital Group"|"LHP Hospital"|"USD"|"148830000"|"Health Care"|"Developed"|"Non Canadian Private Equity"|"True"|""|"N/A"|"20071218"|"2"|""|"Jean, Hung"|"Shahi, Ravi"|"Health Care"|"US"|"2007"|"USREII"|"Douglas, Michael"|""|"0.2715"|""|""|""
"2722"|"CPPIB"|"M914YGD907"|"PR1000008"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Terra Firma Capital Partners"|"AWAS Aviation"|"AWAS Aviation-TFCP II Co-Inv 4B-2008"|"EUR"|"6750000"|"Industrials"|"Developed"|"Non Canadian Private Equity"|"True"|""|"Green"|"20080822"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"Europe (ex-UK)"|"2007"|"PHI"|"Selwood, Ryan"|""|"0.25"|""|""|""
"2723"|"CPPIB"|"M914YGE905"|"PR1000009"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Terra Firma Capital Partners"|"AWAS Aviation"|"AWAS Aviation-TFCP III Co-Inv A-2008"|"EUR"|"6750000"|"Industrials"|"Developed"|"Non Canadian Private Equity"|"True"|""|"Green"|"20080822"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"Europe (ex-UK)"|"2007"|"PHI"|"Selwood, Ryan"|""|"0.25"|""|""|""
"2786"|"CPPIB"|"M929QCB905"|"PR1000011"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Terra Firma Capital Partners"|"AWAS Aviation"|"AWAS Aviation-TFCP III Co-Inv B-2009"|"EUR"|"100000000"|"Industrials"|"Developed"|"Non Canadian Private Equity"|"True"|""|"Green"|"20090925"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"Europe (ex-UK)"|"2009"|"PHI"|"Selwood, Ryan"|""|"0.25"|""|""|""
"2796"|"CPPIB"|"M929SNB909"|"PR1000044"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Silver Lake Partners"|"Skype"|"Skype Inc."|"USD"|"308160000"|"Telecommunications"|"Developed"|"Non Canadian Private Equity"|"False"|"20111013"|""|"20091021"|"0"|""|"Gosine, Vitra"|"Lyons, James"|"Telecommunications"|"Europe (ex-UK)"|"2009"|"PHI"|"Selwood, Ryan"|""|"0.12"|""|""|""
"2817"|"CPPIB"|"M981JKP906"|"PR1000047"|"Co-Sponsorship"|"Private Investments"|"Direct Private Equity"|"Co-Sponsorship"|"N/A"|"N/A"|"N/A"|"Sterling Partners"|"Livingston"|"Livingston"|"CAD"|"173893529.94"|"Industrials"|"Developed"|"Canadian Private Equity"|"True"|""|"Green"|"20100118"|"2"|""|"Ip, Chester"|"Ogunsanya, Mojisola"|"Industrials"|"Canada"|"2010"|"CPPIB Zambezi Holdings Inc."|"McKay, Geoff"|""|"0.4235"|""|""|""
